Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,varsigma
2.0,27.0,0.54,,,,,,
2.0,28.0,0.54,,,,,,
2.0,29.0,0.54,,,,,,
2.0,30.0,0.54,,,,,,
2.0,31.0,0.54,,,,,,
2.0,32.0,0.54,,,,,,
2.0,33.0,0.54,,,,,,
2.0,34.0,0.54,,,,,,
2.0,35.0,0.54,,,,,,
2.0,36.0,0.54,,,,,,
2.0,37.0,0.54,,,,,,
2.0,38.0,0.54,,,,,,
2.0,39.0,0.54,,,,,,
2.0,40.0,0.54,,,,,,
2.0,41.0,0.54,,,,,,
2.0,42.0,0.54,,,,,,
2.0,43.0,0.54,,,,,,
2.0,44.0,0.54,,,,,,
2.0,45.0,0.54,,,,,,
2.0,46.0,0.54,,,,,,
2.0,47.0,0.54,,,,,,
2.0,48.0,0.54,,,,,,
2.0,49.0,0.54,,,,,,
2.0,50.0,0.54,,,,,,
2.0,51.0,0.54,,,,,,
2.0,52.0,0.54,,,,,,
2.0,53.0,0.54,,,,,,
2.0,54.0,0.54,,,,,,
2.0,55.0,0.54,,,,,,
2.0,56.0,0.54,-19.611099913876043,-0.32140801370919014,-0.1354115919163623,0.056587792700491926,0.023412207299507933,0.4146948175123006
2.0,57.0,0.54,-18.243150201898832,-0.44473858018909834,-0.2512952794563849,0.06115397373789262,0.01884602626210733,0.5288493434473164
2.0,58.0,0.54,-17.503694862419035,-0.5956851986456361,-0.3977672196936272,0.06385241238689848,0.01614758761310147,0.5963103096724629
2.0,59.0,0.54,-17.014676605303205,-0.7692030378483565,-0.5681389572363632,0.06573110445165739,0.014268895548342556,0.6432776112914359
2.0,60.0,0.54,-16.668724638917816,-0.9618483557418614,-0.7583641694812392,0.06713644902956585,0.012863550970434028,0.6784112257391488
2.0,61.0,0.54,-16.41137176865048,-1.1707424104267936,-0.965431922259951,0.06819906680625541,0.011800933193744511,0.704976670156387
2.0,62.0,0.54,-16.231151145266207,-1.3928232142053478,-1.1862196173149897,0.06895268271819299,0.011047317281806945,0.7238170679548261
2.0,63.0,0.54,-16.112429974332713,-1.6247585233074457,-1.4172970119765438,0.06945322160261364,0.010546778397386264,0.736330540065343
2.0,64.0,0.54,-16.048529996711142,-1.863005613746972,-1.65507983113668,0.06972432900805253,0.010275670991947324,0.7431082252013165
2.0,65.0,0.54,-16.03775680944405,-2.103910075603033,-1.8959059419665396,0.0697700886826077,0.010229911317392168,0.7442522170651954
2.0,66.0,0.54,-16.077993936165665,-2.3437701652056773,-2.136058667359491,0.06959917938917692,0.01040082061082295,0.7399794847294258
2.0,67.0,0.54,-16.17006243917092,-2.57891311792311,-2.3718686255992583,0.06920986705205473,0.010790132947945237,0.7302466763013691
2.0,68.0,0.54,-16.325763746922213,-2.805737795245007,-2.599814438242565,0.06855611987091019,0.011443880129089715,0.7139029967727568
2.0,69.0,0.54,-16.546329077238198,-3.0207772044588896,-2.81642714044767,0.06764002596023949,0.01235997403976044,0.6910006490059887
2.0,70.0,0.54,-16.8557410653887,-3.2207218565290994,-3.0185507548565726,0.06637358037609849,0.013626419623901405,0.6593395094024644
2.0,71.0,0.54,-17.285975535030293,-3.402429572195038,-3.203162777592714,0.06466936484864538,0.015330635151354534,0.6167341212161362
2.0,72.0,0.54,-17.900340749969036,-3.5629125417196037,-3.367414799494857,0.06239063904484072,0.01760936095515918,0.55976597612102
2.0,73.0,0.54,-18.78716245943776,-3.699394746942597,-3.5091450747522512,0.05923906270836954,0.02076093729163035,0.48097656770924047
2.0,74.0,0.54,,,,,,
2.0,75.0,0.54,,,,,,
2.0,76.0,0.54,,,,,,
2.1,27.0,0.54,,,,,,
2.1,28.0,0.54,,,,,,
2.1,29.0,0.54,,,,,,
2.1,30.0,0.54,,,,,,
2.1,31.0,0.54,,,,,,
2.1,32.0,0.54,,,,,,
2.1,33.0,0.54,,,,,,
2.1,34.0,0.54,,,,,,
2.1,35.0,0.54,,,,,,
2.1,36.0,0.54,,,,,,
2.1,37.0,0.54,,,,,,
2.1,38.0,0.54,,,,,,
2.1,39.0,0.54,,,,,,
2.1,40.0,0.54,,,,,,
2.1,41.0,0.54,,,,,,
