Stot,Ntot,n_s,beta,mu_glob,V_offset,s2_s,s2_r,sigma2_s,sigma2_r,varsigma
4.0,21,0.42,,,,,,,,
4.0,22,0.42,12.185506472196838,-4.002598178633353,-3.6400742101718557,0.04581343519874211,0.03418656480125785,5.453980380802633,85.46641200314508,-0.8800273461695806
4.0,23,0.42,13.738410911049144,-3.8968626081035747,-3.5486768802848503,0.03894475285220911,0.04105524714779076,4.636280101453472,51.31905893473864,-0.8342864083638307
4.0,24,0.42,12.967027628451023,-3.801734698365839,-3.4469680519922656,0.04214804599081564,0.03785195400918423,5.017624522716154,31.543295007653654,-0.725519785215019
4.0,25,0.42,12.052596804745317,-3.689182237874636,-3.3251961101934913,0.0464879614004805,0.03351203859951943,5.534281119104827,20.945024124699685,-0.5819919693399276
4.0,26,0.42,11.34726226281608,-3.554190469034881,-3.1818379829290966,0.05031520551335359,0.029684794486646324,5.989905418256385,14.84239724332319,-0.42494063036983437
4.0,27,0.42,10.850926849406324,-3.3960064688082796,-3.0170046477123433,0.053300844510065996,0.026699155489933873,6.345338632150717,11.124648120805821,-0.27357258801849277
4.0,28,0.42,10.508733997695865,-3.216213039354048,-2.8321641042835037,0.05552654842628184,0.02447345157371799,6.6103033840811785,8.74051841918503,-0.1387687944270582
4.0,29,0.42,10.26943409493559,-3.0176484488524675,-2.629885012055288,0.05716080452989381,0.022839195470106058,6.804857682130223,7.137248584408171,-0.023840795352112604
4.0,30,0.42,10.102070547537721,-2.8036079974608787,-2.4131541067832147,0.05834201458862577,0.0216579854113741,6.9454779272173575,6.016107058715058,0.07170194613629222
4.0,31,0.42,9.990177652874129,-2.577552353543805,-2.1851941488089666,0.0591630607904977,0.020836939209502137,7.043221522678304,5.209234802375558,0.14968318773376108
4.0,32,0.42,9.922376931576986,-2.3430464388498042,-1.949518633636795,0.05966777232304951,0.020332227676950327,7.103306228934474,4.62096083567055,0.21172712798039214
4.0,33,0.42,9.893349351492622,-2.1037549977166954,-1.7097248493877149,0.05988461179607055,0.020115388203929347,7.1291204519131695,4.190705875818621,0.2595812418867149
4.0,34,0.42,9.901326139895252,-1.8634066203753195,-1.4695156771964324,0.059824475336348645,0.020175524663651224,7.121961349565323,3.8799085891637075,0.29468197483310254
4.0,35,0.42,9.947210965816947,-1.6257510397349995,-1.2326516355443724,0.059482906686801146,0.020517093313198717,7.0812984150953815,3.6637666630712125,0.31805593797364834
4.0,36,0.42,10.033636390677849,-1.3945023794007616,-1.0028858426782734,0.058843324961352084,0.021156675038647783,7.0051577334943005,3.526112506441311,0.33035380802024317
4.0,37,0.42,10.168133177153884,-1.1732883923211055,-0.7839084208041579,0.05787170242017252,0.022128297579827393,6.889488383353875,3.457546496848036,0.33168361044887756
4.0,38,0.42,10.365855597981682,-0.9656694123106474,-0.5794169714211361,0.05649552747287679,0.02350447252712307,6.725658032485339,3.456540077518111,0.3210621046309735
4.0,39,0.42,10.659809904438468,-0.7754282104600003,-0.39365795795788716,0.05452612939773827,0.025473870602261594,6.4912058806831325,3.5380375836474536,0.2944557391131986
4.0,40,0.42,11.1438344253454,-0.607138054495523,-0.2321178210723998,0.05151198838042462,0.028488011619575242,6.132379569098177,3.748422581523066,0.24127160439349782
4.0,41,0.42,12.001076341987572,-0.46525134912552885,-0.10069288590915655,0.04675193825639445,0.03324806174360542,5.5657069352850606,4.156007717950687,0.1450052040835382
4.0,42,0.42,13.472398025353828,-0.3503034038970878,-9.590117448200155e-16,0.04000000000000002,0.03999999999999983,4.76190476190477,4.761904761904754,1.6786572132332368e-15
4.0,43,0.42,15.843191156894104,-0.25876082994341676,0.07599337805924596,0.03188931555270309,0.04811068444729679,3.7963470896075147,5.467123232647373,-0.1803617958408014
4.0,44,0.42,19.611099913876146,-0.18599642179282763,0.13541159191636143,0.023412207299507833,0.05658779270049208,2.7871675356557017,6.150847032662185,-0.37633408082926406
4.0,45,0.42,25.7877439028014,-0.12812590829645087,0.1854164760784128,0.015626552298548733,0.06437344770145112,1.8603038450653335,6.705567468901168,-0.5656474918010638
4.0,46,0.42,36.104312325712186,-0.08358766876002019,0.22716617726927169,0.008769348797522803,0.07123065120247717,1.043970094943194,7.123065120247718,-0.744345391580685
4.0,47,0.42,57.96869033580474,-0.048001773809951624,0.2621036621708978,0.0025817226860593056,0.07741827731394063,0.30734793881658756,7.444065126340452,-0.9206988619408942
4.0,48,0.42,,,,,,,,
4.0,49,0.42,,,,,,,,
4.0,50,0.42,,,,,,,,
4.0,51,0.42,,,,,,,,
4.0,52,0.42,,,,,,,,
4.0,53,0.42,,,,,,,,
4.0,54,0.42,,,,,,,,
4.0,55,0.42,,,,,,,,
4.0,56,0.42,,,,,,,,
4.0,57,0.42,,,,,,,,
4.0,58,0.42,,,,,,,,
4.0,59,0.42,,,,,,,,
4.0,60,0.42,,,,,,,,
4.0,61,0.42,,,,,,,,
4.0,62,0.42,,,,,,,,
4.0,63,0.42,,,,,,,,
4.0,64,0.42,,,,,,,,
4.0,65,0.42,,,,,,,,
4.0,66,0.42,,,,,,,,
4.0,67,0.42,,,,,,,,
4.0,68,0.42,,,,,,,,
4.0,69,0.42,84.25257750519356,0.029021472419233654,0.3390770980036155,0.0005646493769032452,0.07943535062309667,0.06722016391705905,4.137257844952955,-0.9680244901862977
4.0,70,0.42,13.46242705903566,0.23861808848415614,0.5890062844931704,0.04004098066878039,0.039959019331219495,4.766783412950051,2.0387254760826305,0.40086024151166455
4.2,21,0.42,,,,,,,,
4.2,22,0.42,11.498512803276837,-4.007481269827671,-3.6370635740640216,0.04944793371318439,0.03455206628681551,5.886658775379095,86.3801657170394,-0.872399233250673
4.2,23,0.42,13.069739508647515,-3.8973133650288654,-3.5434835394327058,0.041698662329990865,0.04230133767000899,4.964126467856063,52.87667208751143,-0.8283520770169104
4.2,24,0.42,12.40863077241954,-3.800901682576354,-3.44076170363276,0.04471184243176104,0.039288157568238787,5.322838384733466,32.740131306865784,-0.7203140780731961
4.2,25,0.42,11.56384773009447,-3.687927836510148,-3.3183046958329983,0.049085149145501605,0.0349148508544983,5.843470136369241,21.821781784061493,-0.5775588703709689
4.2,26,0.42,10.896780854324268,-3.552985974224386,-3.174620676406297,0.05301457595771615,0.030985424042283802,6.311259042585258,15.492712021141923,-0.42109086238106497
4.2,27,0.42,10.422368720145013,-3.3950432591636726,-3.009667614876549,0.056109784986669686,0.027890215013330222,6.6797363079368735,11.620922922220943,-0.27000047113829895
4.2,28,0.42,10.091612532207783,-3.2155083515685705,-2.82487811312872,0.05841825107669817,0.02558174892330175,6.9545536996069295,9.136338901179201,-0.13559130967449742
4.2,29,0.42,9.862631518448607,-3.0171544679030733,-2.6225870247192278,0.06011677262856102,0.02388322737143885,7.1567586462572725,7.463508553574664,-0.02098114235018345
4.2,30,0.42,9.702213648143921,-2.803270685820717,-2.405873535293127,0.06134048797887962,0.022659512021120286,7.302439045104725,6.294308894755643,0.07414494663048339
4.2,31,0.42,9.593946867202229,-2.5773350706816744,-2.177987406924721,0.06218501354203093,0.021814986457968998,7.402977802622729,5.45374661449227,0.151611804444966
4.2,32,0.42,9.52894944565522,-2.342930189195375,-1.942367135480129,0.0627052835830677,0.021294716416932213,7.464914712269971,4.839708276575507,0.213351228889686
4.2,33,0.42,9.501055653508974,-2.1037299714716218,-1.702645330375425,0.06292855866135837,0.02107144133864153,7.491495078733147,4.389883612216995,0.26104811126663274
4.2,34,0.42,9.508801643428484,-1.8634709668721372,-1.4625311684195579,0.06286655610191254,0.021133443898087356,7.484113821656262,4.064123826555269,0.2961482175274289
4.2,35,0.42,9.552736929449052,-1.6259102825353593,-1.2257920321407367,0.06251487733501943,0.02148512266498051,7.44224730178803,3.836629047317957,0.3196788530052349
4.2,36,0.42,9.636006984435792,-1.39477189906965,-0.9961848529392717,0.06185603560954217,0.022143964390457765,7.363813763040737,3.69066073174297,0.33227748935790874
4.2,37,0.42,9.76592455085754,-1.1737054703114749,-0.7774382063676342,0.060851607553523396,0.023148392446476478,7.244238994467077,3.616936319761962,0.3339696275736428
4.2,38,0.42,9.9565429846192,-0.9663390916485023,-0.5734006700174203,0.05941343873098331,0.02458656126901656,7.073028420355163,3.6156707748553867,0.3234591583463185
4.2,39,0.42,10.245657031075881,-0.7766210817391636,-0.38848147198907856,0.057326556827327964,0.02667344317267192,6.824590098491429,3.704644885093332,0.2963126208373295
4.2,40,0.42,10.726605744232561,-0.6093024501911842,-0.22852176814073175,0.05409118274852144,0.029908817251478485,6.439426517681132,3.935370690984013,0.24135949612641142
4.2,41,0.42,11.573421867293668,-0.46857542887499287,-0.09906859581510334,0.049032020594846105,0.03496797940515378,5.8371453089102525,4.370997425644235,0.14362533140363695
4.2,42,0.42,13.00054400283011,-0.35445771982621005,-9.988987399289e-16,0.04200000000000002,0.04199999999999982,5.00000000000001,4.99999999999999,1.9539925233402757e-15
4.2,43,0.42,15.260129275738835,-0.26316495663996037,0.07473943766883862,0.03363033005731646,0.05036966994268346,4.003610721109107,5.723826129850398,-0.17684159096562121
4.2,44,0.42,18.81972935094222,-0.19006880395242098,0.1333463856057147,0.024871252112888705,0.05912874788711124,2.9608633467724674,6.427037813816443,-0.36921718792643743
4.2,45,0.42,24.629740238604185,-0.13178987040831772,0.18256459211426415,0.016752824574389643,0.06724717542561026,1.994383877903535,7.004914106834408,-0.556769009919253
4.2,46,0.42,34.27937195318287,-0.08663320480084985,0.22432414821714572,0.0096926073028781,0.07430739269712179,1.1538818217712083,7.430739269712185,-0.7311746646765928
4.2,47,0.42,53.61892373518445,-0.05076470843981686,0.2593723862604806,0.003306534105763623,0.08069346589423625,0.3936350125909158,7.758987105215032,-0.9034335194486234
4.2,48,0.42,,,,,,,,
4.2,49,0.42,,,,,,,,
4.2,50,0.42,,,,,,,,
4.2,51,0.42,,,,,,,,
4.2,52,0.42,,,,,,,,
4.2,53,0.42,,,,,,,,
4.2,54,0.42,,,,,,,,
4.2,55,0.42,,,,,,,,
4.2,56,0.42,,,,,,,,
4.2,57,0.42,,,,,,,,
4.2,58,0.42,,,,,,,,
4.2,59,0.42,,,,,,,,
4.2,60,0.42,,,,,,,,
4.2,61,0.42,,,,,,,,
4.2,62,0.42,,,,,,,,
4.2,63,0.42,,,,,,,,
4.2,64,0.42,,,,,,,,
4.2,65,0.42,,,,,,,,
4.2,66,0.42,,,,,,,,
4.2,67,0.42,,,,,,,,
4.2,68,0.42,,,,,,,,
4.2,69,0.42,48.59780584090691,0.04997011344676465,0.3601711692556631,0.004389185216837394,0.07961081478316251,0.5225220496235012,4.146396603289719,-0.7761699920398193
4.2,70,0.42,12.550356332927032,0.25630012259780977,0.6150260396439118,0.04404078999195191,0.039959210008047974,5.242951189518089,2.0387352044922475,0.44003762475427655
4.4,21,0.42,,,,,,,,
4.4,22,0.42,10.880298907413385,-4.012586069083324,-3.633991976792608,0.053117473471041954,0.03488252652895793,6.323508746552616,87.20631632239547,-0.8647809136413743
4.4,23,0.42,12.454144306348855,-3.8978856534342388,-3.5382039287145424,0.044494964718759536,0.04350503528124033,5.297019609376144,54.38129410155059,-0.8224809221308044
4.4,24,0.42,11.894600253452975,-3.8001290055002985,-3.43436901186773,0.04730598398692258,0.040694016013077344,5.63166476034793,33.91168001089788,-0.7151649769170244
4.4,25,0.42,11.112530530327064,-3.6866894206485132,-3.311252941037522,0.0516988158531856,0.03630118414681424,6.154620934903057,22.688240091758985,-0.5732308990280964
4.4,26,0.42,10.48016063178315,-3.5517562628951476,-3.1672696557524707,0.05571891383622135,0.03228108616377857,6.633204028121598,16.14054308188931,-0.41746924684117825
