Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
35,,0.3,,0.0,1764991820.0,,,,0.0,0.7,,,-2,1.41421356237,
36,,0.3,,0.0,1764991820.0,,,,0.020000000000000018,0.7,,,-2,1.41421356237,
37,,0.3,,0.0,1764991820.0,,,,0.040000000000000036,0.7,,,-2,1.41421356237,
38,,0.3,,0.0,1764991820.0,,,,0.06000000000000005,0.7,,,-2,1.41421356237,
39,,0.3,,0.0,1764991820.0,,,,0.08000000000000007,0.7,,,-2,1.41421356237,
40,,0.3,,0.0,1764991820.0,,,,0.10000000000000009,0.7,,,-2,1.41421356237,
41,,0.3,,0.0,1764991820.0,,,,0.12,0.7,,,-2,1.41421356237,
42,,0.3,,0.0,1764991820.0,,,,0.14,0.7,,,-2,1.41421356237,
43,,0.3,,0.0,1764991820.0,,,,0.16000000000000003,0.7,,,-2,1.41421356237,
44,,0.3,,0.0,1764991820.0,,,,0.18000000000000005,0.7,,,-2,1.41421356237,
45,,0.3,,0.0,1764991820.0,,,,0.20000000000000007,0.7,,,-2,1.41421356237,
46,,0.3,,0.0,1764991820.0,,,,0.22000000000000008,0.7,,,-2,1.41421356237,
47,,0.3,,0.0,1764991820.0,,,,0.24,0.7,,,-2,1.41421356237,
48,,0.3,,0.0,1764991820.0,,,,0.26,0.7,,,-2,1.41421356237,
49,,0.3,,0.0,1764991820.0,,,,0.28,0.7,,,-2,1.41421356237,
50,,0.3,,0.0,1764991820.0,,,,0.30000000000000004,0.7,,,-2,1.41421356237,
51,,0.3,,0.0,1764991820.0,,,,0.32000000000000006,0.7,,,-2,1.41421356237,
52,,0.3,,0.0,1764991820.0,,,,0.3400000000000001,0.7,,,-2,1.41421356237,
53,,0.3,,0.0,1764991820.0,,,,0.3600000000000001,0.7,,,-2,1.41421356237,
54,,0.3,,0.0,1764991820.0,,,,0.3800000000000001,0.7,,,-2,1.41421356237,
55,,0.3,,0.0,1764991820.0,,,,0.40000000000000013,0.7,,,-2,1.41421356237,
56,,0.3,,0.0,1764991820.0,,,,0.42000000000000015,0.7,,,-2,1.41421356237,
57,,0.3,,0.0,1764991820.0,,,,0.43999999999999995,0.7,,,-2,1.41421356237,
58,,0.3,,0.0,1764991820.0,,,,0.45999999999999996,0.7,,,-2,1.41421356237,
59,,0.3,,0.0,1764991820.0,,,,0.48,0.7,,,-2,1.41421356237,
60,,0.3,,0.0,1764991820.0,,,,0.5,0.7,,,-2,1.41421356237,
61,,0.3,,0.0,1764991820.0,,,,0.52,0.7,,,-2,1.41421356237,
62,,0.3,,0.0,1764991820.0,,,,0.54,0.7,,,-2,1.41421356237,
63,,0.3,,0.0,1764991820.0,,,,0.56,0.7,,,-2,1.41421356237,
64,,0.3,,0.0,1764991820.0,,,,0.5800000000000001,0.7,,,-2,1.41421356237,
65,,0.3,,0.0,1764991820.0,,,,0.6000000000000001,0.7,,,-2,1.41421356237,
66,,0.3,,0.0,1764991820.0,,,,0.6200000000000001,0.7,,,-2,1.41421356237,
67,,0.3,,0.0,1764991820.0,,,,0.6400000000000001,0.7,,,-2,1.41421356237,
68,,0.3,,0.0,1764991820.0,,,,0.6600000000000001,0.7,,,-2,1.41421356237,
69,,0.3,,0.0,1764991820.0,,,,0.6799999999999999,0.7,,,-2,1.41421356237,
70,,0.3,,0.0,1764991820.0,,,,0.7,0.7,,,-2,1.41421356237,
71,,0.3,,0.0,1764991820.0,,,,0.72,0.7,,,-2,1.41421356237,
72,,0.3,,0.0,1764991820.0,,,,0.74,0.7,,,-2,1.41421356237,
73,,0.3,,0.0,1764991820.0,,,,0.76,0.7,,,-2,1.41421356237,
74,,0.3,,0.0,1764991820.0,,,,0.78,0.7,,,-2,1.41421356237,
75,,0.3,,0.0,1764991820.0,,,,0.8,0.7,,,-2,1.41421356237,
76,,0.3,,0.0,1764991820.0,,,,0.8200000000000001,0.7,,,-2,1.41421356237,
77,,0.3,,0.0,1764991820.0,,,,0.8400000000000001,0.7,,,-2,1.41421356237,
78,,0.3,,0.0,1764991820.0,,,,0.8600000000000001,0.7,,,-2,1.41421356237,
79,,0.3,,0.0,1764991820.0,,,,0.8800000000000001,0.7,,,-2,1.41421356237,
80,,0.3,,0.0,1764991820.0,,,,0.9000000000000001,0.7,,,-2,1.41421356237,
81,,0.3,,0.0,1764991820.0,,,,0.9200000000000002,0.7,,,-2,1.41421356237,
82,,0.3,,0.0,1764991820.0,,,,0.94,0.7,,,-2,1.41421356237,
83,,0.3,,0.0,1764991820.0,,,,0.96,0.7,,,-2,1.41421356237,
84,,0.3,,0.0,1764991820.0,,,,0.98,0.7,,,-2,1.41421356237,
85,,0.3,,0.0,1764991820.0,,,,1.0,0.7,,,-2,1.41421356237,
35,,0.3,,0.1,1764991820.0,,,,0.0,0.7,,,-2,1.41421356237,
36,,0.3,,0.1,1764991820.0,,,,0.020000000000000018,0.7,,,-2,1.41421356237,
37,,0.3,,0.1,1764991820.0,,,,0.040000000000000036,0.7,,,-2,1.41421356237,
38,,0.3,,0.1,1764991820.0,,,,0.06000000000000005,0.7,,,-2,1.41421356237,
39,,0.3,,0.1,1764991820.0,,,,0.08000000000000007,0.7,,,-2,1.41421356237,
40,,0.3,,0.1,1764991820.0,,,,0.10000000000000009,0.7,,,-2,1.41421356237,
41,,0.3,,0.1,1764991820.0,,,,0.12,0.7,,,-2,1.41421356237,
42,,0.3,,0.1,1764991820.0,,,,0.14,0.7,,,-2,1.41421356237,
43,,0.3,,0.1,1764991820.0,,,,0.16000000000000003,0.7,,,-2,1.41421356237,
44,,0.3,,0.1,1764991820.0,,,,0.18000000000000005,0.7,,,-2,1.41421356237,
45,,0.3,,0.1,1764991820.0,,,,0.20000000000000007,0.7,,,-2,1.41421356237,
46,,0.3,,0.1,1764991820.0,,,,0.22000000000000008,0.7,,,-2,1.41421356237,
47,,0.3,,0.1,1764991820.0,,,,0.24,0.7,,,-2,1.41421356237,
48,,0.3,,0.1,1764991820.0,,,,0.26,0.7,,,-2,1.41421356237,
49,,0.3,,0.1,1764991820.0,,,,0.28,0.7,,,-2,1.41421356237,
50,,0.3,,0.1,1764991820.0,,,,0.30000000000000004,0.7,,,-2,1.41421356237,
51,,0.3,,0.1,1764991820.0,,,,0.32000000000000006,0.7,,,-2,1.41421356237,
52,,0.3,,0.1,1764991820.0,,,,0.3400000000000001,0.7,,,-2,1.41421356237,
53,,0.3,,0.1,1764991820.0,,,,0.3600000000000001,0.7,,,-2,1.41421356237,
54,,0.3,,0.1,1764991820.0,,,,0.3800000000000001,0.7,,,-2,1.41421356237,
55,,0.3,,0.1,1764991820.0,-4.72436364105944,-4.72436364105944,,0.40000000000000013,0.7,0.6499982596234928,,-2,1.41421356237,
56,,0.3,,0.1,1764991820.0,-3.874841826102542,-3.874841826102542,,0.42000000000000015,0.7,0.6636031006645754,,-2,1.41421356237,
57,,0.3,,0.1,1764991820.0,-3.0366492701896854,-3.0366492701896854,,0.43999999999999995,0.7,0.6743318149553748,,-2,1.41421356237,
58,,0.3,,0.1,1764991820.0,-2.2074092745134624,-2.2074092745134624,,0.45999999999999996,0.7,0.6816754357106886,,-2,1.41421356237,
59,,0.3,,0.1,1764991820.0,-1.3827014822950598,-1.3827014822950598,,0.48,0.7,0.6861268687895771,,-2,1.41421356237,
60,,0.3,,0.1,1764991820.0,-0.560293776592284,-0.560293776592284,,0.5,0.7,0.6882367821569713,,-2,1.41421356237,
61,,0.3,,0.1,1764991820.0,0.2616023394898318,0.2616023394898318,,0.52,0.7,0.6867618950205057,,-2,1.41421356237,
62,,0.3,,0.1,1764991820.0,1.0863953566022286,1.0863953566022286,,0.54,0.7,0.6820688292250471,,-2,1.41421356237,
63,,0.3,,0.1,1764991820.0,1.9160551447120735,1.9160551447120735,,0.56,0.7,0.6745364361114637,,-2,1.41421356237,
64,,0.3,,0.1,1764991820.0,2.7545146169443133,2.7545146169443133,,0.5800000000000001,0.7,0.6638212806945062,,-2,1.41421356237,
65,,0.3,,0.1,1764991820.0,3.6037027981615886,3.6037027981615886,,0.6000000000000001,0.7,0.6503557887783625,,-2,1.41421356237,
66,,0.3,,0.1,1764991820.0,4.466487641077547,4.466487641077547,,0.6200000000000001,0.7,0.6341990608084438,,-2,1.41421356237,
67,,0.3,,0.1,1764991820.0,,,,0.6400000000000001,0.7,,,-2,1.41421356237,
68,,0.3,,0.1,1764991820.0,,,,0.6600000000000001,0.7,,,-2,1.41421356237,
69,,0.3,,0.1,1764991820.0,,,,0.6799999999999999,0.7,,,-2,1.41421356237,
70,,0.3,,0.1,1764991820.0,,,,0.7,0.7,,,-2,1.41421356237,
71,,0.3,,0.1,1764991820.0,,,,0.72,0.7,,,-2,1.41421356237,
72,,0.3,,0.1,1764991820.0,,,,0.74,0.7,,,-2,1.41421356237,
73,,0.3,,0.1,1764991820.0,,,,0.76,0.7,,,-2,1.41421356237,
74,,0.3,,0.1,1764991820.0,,,,0.78,0.7,,,-2,1.41421356237,
75,,0.3,,0.1,1764991820.0,,,,0.8,0.7,,,-2,1.41421356237,
76,,0.3,,0.1,1764991820.0,,,,0.8200000000000001,0.7,,,-2,1.41421356237,
77,,0.3,,0.1,1764991820.0,,,,0.8400000000000001,0.7,,,-2,1.41421356237,
78,,0.3,,0.1,1764991820.0,,,,0.8600000000000001,0.7,,,-2,1.41421356237,
79,,0.3,,0.1,1764991820.0,,,,0.8800000000000001,0.7,,,-2,1.41421356237,
80,,0.3,,0.1,1764991820.0,,,,0.9000000000000001,0.7,,,-2,1.41421356237,
81,,0.3,,0.1,1764991820.0,,,,0.9200000000000002,0.7,,,-2,1.41421356237,
82,,0.3,,0.1,1764991820.0,,,,0.94,0.7,,,-2,1.41421356237,
83,,0.3,,0.1,1764991820.0,,,,0.96,0.7,,,-2,1.41421356237,
84,,0.3,,0.1,1764991820.0,,,,0.98,0.7,,,-2,1.41421356237,
85,,0.3,,0.1,1764991820.0,,,,1.0,0.7,,,-2,1.41421356237,
35,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.0,0.7,,0.5404493386205156,-2,1.41421356237,
36,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.020000000000000018,0.7,,0.5404493386205156,-2,1.41421356237,
37,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.040000000000000036,0.7,,0.5404493386205156,-2,1.41421356237,
38,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.06000000000000005,0.7,,0.5404493386205156,-2,1.41421356237,
39,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.08000000000000007,0.7,,0.5404493386205156,-2,1.41421356237,
40,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.10000000000000009,0.7,,0.5404493386205156,-2,1.41421356237,
41,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.12,0.7,,0.5404493386205156,-2,1.41421356237,
42,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.14,0.7,,0.5404493386205156,-2,1.41421356237,
43,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.16000000000000003,0.7,,0.5404493386205156,-2,1.41421356237,
44,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.18000000000000005,0.7,,0.5404493386205156,-2,1.41421356237,
45,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.20000000000000007,0.7,,0.5404493386205156,-2,1.41421356237,
46,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.22000000000000008,0.7,,0.5404493386205156,-2,1.41421356237,
47,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.24,0.7,,0.5404493386205156,-2,1.41421356237,
48,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.26,0.7,,0.5404493386205156,-2,1.41421356237,
49,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.28,0.7,,0.5404493386205156,-2,1.41421356237,
50,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.30000000000000004,0.7,,0.5404493386205156,-2,1.41421356237,
51,27.530479714885242,0.3,-8.497044317803335,0.2,1764991820.0,-4.562372730303105,-4.562372730303105,3.93467158750023,0.32000000000000006,0.7,0.5607698499748941,0.5404493386205156,-2,1.41421356237,-0.018452739985667207
52,28.112922157977327,0.3,-8.012850842626355,0.2,1764991820.0,-4.078179255126124,-4.078179255126124,3.93467158750023,0.3400000000000001,0.7,0.5840675476985775,0.5404493386205156,-2,1.41421356237,-0.03878839847468933
53,28.59136384055444,0.3,-7.550816486718353,0.2,1764991820.0,-3.616144899218123,-3.616144899218123,3.93467158750023,0.3600000000000001,0.7,0.603205215001662,0.5404493386205156,-2,1.41421356237,-0.05487310497945932
54,29.049779864945023,0.3,-7.093048935649065,0.2,1764991820.0,-3.1583773481488358,-3.1583773481488358,3.93467158750023,0.3800000000000001,0.7,0.6215418559772853,0.5404493386205156,-2,1.41421356237,-0.06978754893649447
55,29.41607686872194,0.3,-6.647143158140482,0.2,1764991820.0,-2.7124715706402514,-2.7124715706402514,3.93467158750023,0.40000000000000013,0.7,0.6361937361283622,0.5404493386205156,-2,1.41421356237,-0.08137080781976354
56,29.733642931885107,0.3,-6.207512256103975,0.2,1764991820.0,-2.2728406686037452,-2.2728406686037452,3.93467158750023,0.42000000000000015,0.7,0.6488963786548886,0.5404493386205156,-2,1.41421356237,-0.09118209992197
57,29.992723520378277,0.3,-5.771883800824878,0.2,1764991820.0,-1.8372122133246482,-1.8372122133246482,3.93467158750023,0.43999999999999995,0.7,0.6592596021946155,0.5404493386205156,-2,1.41421356237,-0.09903257326179084
58,30.15613174434419,0.3,-5.342802672849455,0.2,1764991820.0,-1.408131085349225,-1.408131085349225,3.93467158750023,0.45999999999999996,0.7,0.665795931153252,0.5404493386205156,-2,1.41421356237,-0.10391468109652796
59,30.315422661911683,0.3,-4.913865065966119,0.2,1764991820.0,-0.9791934784658888,-0.9791934784658888,3.93467158750023,0.48,0.7,0.6721675678559517,0.5404493386205156,-2,1.41421356237,-0.10862311792944829
60,30.360345923947072,0.3,-4.488179050458408,0.2,1764991820.0,-0.553507462958178,-0.553507462958178,3.93467158750023,0.5,0.7,0.6739644983373674,0.5404493386205156,-2,1.41421356237,-0.1099420606498592
61,30.334888140102752,0.3,-4.06258055907698,0.2,1764991820.0,-0.12790897157674957,-0.12790897157674957,3.93467158750023,0.52,0.7,0.6729461869835944,0.5404493386205156,-2,1.41421356237,-0.10919510214702086
62,30.23914019825517,0.3,-3.635788982709311,0.2,1764991820.0,0.2988826047909188,0.2988826047909188,3.93467158750023,0.54,0.7,0.6691162693096913,0.5404493386205156,-2,1.41421356237,-0.10637449498034991
63,30.072764820514703,0.3,-3.20648355017054,0.2,1764991820.0,0.72818803732969,0.72818803732969,3.93467158750023,0.56,0.7,0.6624612542000725,0.5404493386205156,-2,1.41421356237,-0.10143057705848532
64,29.812519755256297,0.3,-2.7711774900565884,0.2,1764991820.0,1.1634940974436416,1.1634940974436416,3.93467158750023,0.5800000000000001,0.7,0.6520514515897363,0.5404493386205156,-2,1.41421356237,-0.09358661552714274
65,29.489410207104278,0.3,-2.330773987819099,0.2,1764991820.0,1.6038975996811307,1.6038975996811307,3.93467158750023,0.6000000000000001,0.7,0.6391270696636555,0.5404493386205156,-2,1.41421356237,-0.08365522602022703
66,29.151500806356108,0.3,-1.888492061030966,0.2,1764991820.0,2.046179526469264,2.046179526469264,3.93467158750023,0.6200000000000001,0.7,0.6256106936337287,0.5404493386205156,-2,1.41421356237,-0.07303342251477217
67,28.681263836228986,0.3,-1.4294148754094285,0.2,1764991820.0,2.5052567120908016,2.5052567120908016,3.93467158750023,0.6400000000000001,0.7,0.6068012148286438,0.5404493386205156,-2,1.41421356237,-0.05783555824718859
68,28.21102686610186,0.3,-0.970337689787891,0.2,1764991820.0,2.964333897712339,2.964333897712339,3.93467158750023,0.6600000000000001,0.7,0.5879917360235589,0.5404493386205156,-2,1.41421356237,-0.04213104119596041
69,27.621760143939834,0.3,-0.4862233493232999,0.2,1764991820.0,3.44844823817693,3.44844823817693,3.93467158750023,0.6799999999999999,0.7,0.5644210671370778,0.5404493386205156,-2,1.41421356237,-0.021696416513324206
70,27.02246693102578,0.3,0.0,0.2,1764991820.0,3.93467158750023,3.93467158750023,3.93467158750023,0.7,0.7,0.5404493386205156,0.5404493386205156,-2,1.41421356237,0.0
71,26.330037181382714,0.3,0.5180101998269309,0.2,1764991820.0,4.452681787327161,4.452681787327161,3.93467158750023,0.72,0.7,0.5127521486347929,0.5404493386205156,-2,1.41421356237,0.02629809236018345
72,25.623151420136956,0.3,1.0409541356057397,0.2,1764991820.0,4.97562572310597,4.97562572310597,3.93467158750023,0.74,0.7,0.48447671818496285,0.5404493386205156,-2,1.41421356237,0.05461137421953146
73,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.76,0.7,,0.5404493386205156,-2,1.41421356237,
74,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.78,0.7,,0.5404493386205156,-2,1.41421356237,
75,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.8,0.7,,0.5404493386205156,-2,1.41421356237,
76,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.8200000000000001,0.7,,0.5404493386205156,-2,1.41421356237,
77,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.8400000000000001,0.7,,0.5404493386205156,-2,1.41421356237,
78,,0.3,,0.2,1764991820.0,,,3.93467158750023,0.8600000000000001,0.7,,0.5404493386205156,-2,1.41421356237,
