Ntot,S2_tot,V,V_offset,beta,file_mtime,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,tp,varsigma
30,,1.0,,0.0,1764110114.0,,,,0.15999999999999998,0.44,,,-2.0,1.41421356237,
31,,1.0,,0.0,1764110114.0,,,,0.18,0.44,,,-2.0,1.41421356237,
32,,1.0,,0.0,1764110114.0,,,,0.2,0.44,,,-2.0,1.41421356237,
33,,1.0,,0.0,1764110114.0,,,,0.22000000000000003,0.44,,,-2.0,1.41421356237,
34,,1.0,,0.0,1764110114.0,,,,0.24000000000000005,0.44,,,-2.0,1.41421356237,
35,,1.0,,0.0,1764110114.0,,,,0.25999999999999995,0.44,,,-2.0,1.41421356237,
36,,1.0,,0.0,1764110114.0,,,,0.27999999999999997,0.44,,,-2.0,1.41421356237,
37,,1.0,,0.0,1764110114.0,,,,0.3,0.44,,,-2.0,1.41421356237,
38,,1.0,,0.0,1764110114.0,,,,0.32,0.44,,,-2.0,1.41421356237,
39,,1.0,,0.0,1764110114.0,,,,0.34,0.44,,,-2.0,1.41421356237,
40,,1.0,,0.0,1764110114.0,,,,0.36000000000000004,0.44,,,-2.0,1.41421356237,
41,,1.0,,0.0,1764110114.0,,,,0.37999999999999995,0.44,,,-2.0,1.41421356237,
42,,1.0,,0.0,1764110114.0,,,,0.39999999999999997,0.44,,,-2.0,1.41421356237,
43,,1.0,,0.0,1764110114.0,,,,0.42,0.44,,,-2.0,1.41421356237,
44,,1.0,,0.0,1764110114.0,,,,0.44,0.44,,,-2.0,1.41421356237,
45,,1.0,,0.0,1764110114.0,,,,0.46,0.44,,,-2.0,1.41421356237,
46,,1.0,,0.0,1764110114.0,,,,0.48000000000000004,0.44,,,-2.0,1.41421356237,
47,,1.0,,0.0,1764110114.0,,,,0.49999999999999994,0.44,,,-2.0,1.41421356237,
48,,1.0,,0.0,1764110114.0,,,,0.52,0.44,,,-2.0,1.41421356237,
49,,1.0,,0.0,1764110114.0,,,,0.54,0.44,,,-2.0,1.41421356237,
50,,1.0,,0.0,1764110114.0,,,,0.56,0.44,,,-2.0,1.41421356237,
51,,1.0,,0.0,1764110114.0,,,,0.5800000000000001,0.44,,,-2.0,1.41421356237,
52,,1.0,,0.0,1764110114.0,,,,0.6000000000000001,0.44,,,-2.0,1.41421356237,
30,,1.0,,0.1,1764110114.0,,,,0.15999999999999998,0.44,,,-2.0,1.41421356237,
31,,1.0,,0.1,1764110114.0,,,,0.18,0.44,,,-2.0,1.41421356237,
32,,1.0,,0.1,1764110114.0,,,,0.2,0.44,,,-2.0,1.41421356237,
33,,1.0,,0.1,1764110114.0,,,,0.22000000000000003,0.44,,,-2.0,1.41421356237,
34,,1.0,,0.1,1764110114.0,,,,0.24000000000000005,0.44,,,-2.0,1.41421356237,
35,,1.0,,0.1,1764110114.0,,,,0.25999999999999995,0.44,,,-2.0,1.41421356237,
36,,1.0,,0.1,1764110114.0,,,,0.27999999999999997,0.44,,,-2.0,1.41421356237,
37,,1.0,,0.1,1764110114.0,,,,0.3,0.44,,,-2.0,1.41421356237,
38,,1.0,,0.1,1764110114.0,,,,0.32,0.44,,,-2.0,1.41421356237,
39,,1.0,,0.1,1764110114.0,,,,0.34,0.44,,,-2.0,1.41421356237,
40,,1.0,,0.1,1764110114.0,,,,0.36000000000000004,0.44,,,-2.0,1.41421356237,
41,,1.0,,0.1,1764110114.0,,,,0.37999999999999995,0.44,,,-2.0,1.41421356237,
42,,1.0,,0.1,1764110114.0,,,,0.39999999999999997,0.44,,,-2.0,1.41421356237,
43,,1.0,,0.1,1764110114.0,,,,0.42,0.44,,,-2.0,1.41421356237,
44,,1.0,,0.1,1764110114.0,,,,0.44,0.44,,,-2.0,1.41421356237,
45,,1.0,,0.1,1764110114.0,,,,0.46,0.44,,,-2.0,1.41421356237,
46,,1.0,,0.1,1764110114.0,-0.41507014017027016,-0.41507014017027016,,0.48000000000000004,0.44,0.685510111551557,,-2.0,1.41421356237,
47,,1.0,,0.1,1764110114.0,0.4486333263267329,0.4486333263267329,,0.49999999999999994,0.44,0.6869366831816535,,-2.0,1.41421356237,
48,,1.0,,0.1,1764110114.0,,,,0.52,0.44,,,-2.0,1.41421356237,
49,,1.0,,0.1,1764110114.0,,,,0.54,0.44,,,-2.0,1.41421356237,
50,,1.0,,0.1,1764110114.0,,,,0.56,0.44,,,-2.0,1.41421356237,
51,,1.0,,0.1,1764110114.0,,,,0.5800000000000001,0.44,,,-2.0,1.41421356237,
52,,1.0,,0.1,1764110114.0,,,,0.6000000000000001,0.44,,,-2.0,1.41421356237,
30,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.15999999999999998,0.44,,0.6568288566644662,-2.0,1.41421356237,
31,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.18,0.44,,0.6568288566644662,-2.0,1.41421356237,
32,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.2,0.44,,0.6568288566644662,-2.0,1.41421356237,
33,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.22000000000000003,0.44,,0.6568288566644662,-2.0,1.41421356237,
34,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.24000000000000005,0.44,,0.6568288566644662,-2.0,1.41421356237,
35,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.25999999999999995,0.44,,0.6568288566644662,-2.0,1.41421356237,
36,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.27999999999999997,0.44,,0.6568288566644662,-2.0,1.41421356237,
37,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.3,0.44,,0.6568288566644662,-2.0,1.41421356237,
38,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.32,0.44,,0.6568288566644662,-2.0,1.41421356237,
39,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.34,0.44,,0.6568288566644662,-2.0,1.41421356237,
40,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.36000000000000004,0.44,,0.6568288566644662,-2.0,1.41421356237,
41,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.37999999999999995,0.44,,0.6568288566644662,-2.0,1.41421356237,
42,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.39999999999999997,0.44,,0.6568288566644662,-2.0,1.41421356237,
43,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.42,0.44,,0.6568288566644662,-2.0,1.41421356237,
44,32.84144283322331,1.0,0.0,0.2,1764110114.0,-0.9657709276125042,-0.9657709276125042,-0.9657709276125042,0.44,0.44,0.6568288566644662,0.6568288566644662,-2.0,1.41421356237,0.0
45,33.00319597698269,1.0,0.4722741717573874,0.2,1764110114.0,-0.49349675585511676,-0.49349675585511676,-0.9657709276125042,0.46,0.44,0.6632989824148413,0.6568288566644662,-2.0,1.41421356237,-0.004901135752797644
46,33.10076547284424,1.0,0.9420574813959371,0.2,1764110114.0,-0.023713446216566972,-0.023713446216566972,-0.9657709276125042,0.48000000000000004,0.44,0.6672017622493034,0.6568288566644662,-2.0,1.41421356237,-0.007834339656999069
47,33.13446957175537,1.0,1.4106800781138313,0.2,1764110114.0,0.4449091505013272,0.4449091505013272,-0.9657709276125042,0.49999999999999994,0.44,0.6685499262057484,0.6568288566644662,-2.0,1.41421356237,-0.008843562076570471
48,33.10445126323967,1.0,1.8794123899727104,0.2,1764110114.0,0.9136414623602063,0.9136414623602063,-0.9657709276125042,0.52,0.44,0.6673491938651205,0.6568288566644662,-2.0,1.41421356237,-0.007944805607106083
49,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.54,0.44,,0.6568288566644662,-2.0,1.41421356237,
50,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.56,0.44,,0.6568288566644662,-2.0,1.41421356237,
51,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.5800000000000001,0.44,,0.6568288566644662,-2.0,1.41421356237,
52,,1.0,,0.2,1764110114.0,,,-0.9657709276125042,0.6000000000000001,0.44,,0.6568288566644662,-2.0,1.41421356237,
30,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.15999999999999998,0.44,,0.6288663931809306,-2.0,1.41421356237,
31,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.18,0.44,,0.6288663931809306,-2.0,1.41421356237,
32,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.2,0.44,,0.6288663931809306,-2.0,1.41421356237,
33,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.22000000000000003,0.44,,0.6288663931809306,-2.0,1.41421356237,
34,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.24000000000000005,0.44,,0.6288663931809306,-2.0,1.41421356237,
35,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.25999999999999995,0.44,,0.6288663931809306,-2.0,1.41421356237,
36,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.27999999999999997,0.44,,0.6288663931809306,-2.0,1.41421356237,
37,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.3,0.44,,0.6288663931809306,-2.0,1.41421356237,
38,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.32,0.44,,0.6288663931809306,-2.0,1.41421356237,
39,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.34,0.44,,0.6288663931809306,-2.0,1.41421356237,
40,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.36000000000000004,0.44,,0.6288663931809306,-2.0,1.41421356237,
41,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.37999999999999995,0.44,,0.6288663931809306,-2.0,1.41421356237,
42,,1.0,,0.30000000000000004,1764110114.0,,,-0.578584689677097,0.39999999999999997,0.44,,0.6288663931809306,-2.0,1.41421356237,
43,31.237723789037773,1.0,-0.3451451310003525,0.30000000000000004,1764110114.0,-0.9237298206774495,-0.9237298206774495,-0.578584689677097,0.42,0.44,0.6206425583805804,0.6288663931809306,-2.0,1.41421356237,0.0065816533687677444
44,31.44331965904653,1.0,0.0,0.30000000000000004,1764110114.0,-0.578584689677097,-0.578584689677097,-0.578584689677097,0.44,0.44,0.6288663931809306,0.6288663931809306,-2.0,1.41421356237,0.0
45,31.59392050990234,1.0,0.34261371347321795,0.30000000000000004,1764110114.0,-0.23597097620387902,-0.23597097620387902,-0.578584689677097,0.46,0.44,0.6348904272151629,0.6288663931809306,-2.0,1.41421356237,-0.004766766783774234
