L,Nsteps,Ntot,S2_tot,V,V_offset,beta,chi,dBeta,file_mtime,interacting,lattice_geometry,mu_glob,mu_r,mu_s,n_r,n_s,s2_r,s2_s,shift,spinful,svd,t,tp,varsigma,ymax
25,200,30,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.1999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,31,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.2199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,32,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.24,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,33,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.26,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,34,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.28,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,35,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.2999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,36,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.3199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,37,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.3399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,38,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.36,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,39,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.38,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,40,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.4,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,41,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.4199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,42,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.4399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,43,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.4599999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,44,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.48,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,45,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.5,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,46,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.52,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,47,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.5399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,48,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.5599999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,49,,1.0,,0.0,64,0.1,1764110114.0,True,sawtooth,,,,0.58,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,30,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.1999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,31,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.2199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,32,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.24,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,33,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.26,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,34,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.28,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,35,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.2999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,36,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.3199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,37,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.3399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,38,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.36,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,39,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.38,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,40,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.4,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,41,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.4199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,42,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.4399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,43,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.4599999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,44,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,-0.4150701401702725,-0.4150701401702725,,0.48,0.4,0.685510111551557,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,45,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,0.4486333263267353,0.4486333263267353,,0.5,0.4,0.6869366831816535,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,46,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.52,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,47,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.5399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,48,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.5599999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,49,,1.0,,0.1,64,0.1,1764110114.0,True,sawtooth,,,,0.58,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,30,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.1999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,31,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.2199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,32,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.24,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,33,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.26,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,34,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.28,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,35,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.2999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,36,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.3199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,37,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.3399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,38,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.36,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,39,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.38,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,40,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.4,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,41,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.4199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,42,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,-0.9657709276125056,-0.9657709276125056,,0.4399999999999999,0.4,0.6568288566644662,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,43,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,-0.4934967558551181,-0.4934967558551181,,0.4599999999999999,0.4,0.6632989824148413,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,44,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,-0.0237134462165682,-0.0237134462165682,,0.48,0.4,0.6672017622493034,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,45,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,0.4449091505013285,0.4449091505013285,,0.5,0.4,0.6685499262057484,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,46,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,0.9136414623602064,0.9136414623602064,,0.52,0.4,0.6673491938651205,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,47,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.5399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,48,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.5599999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,49,,1.0,,0.2,64,0.1,1764110114.0,True,sawtooth,,,,0.58,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,30,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.1999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,31,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.2199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,32,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.24,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,33,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.26,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,34,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.28,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,35,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.2999999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,36,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.3199999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,37,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.3399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,38,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.36,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,39,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.38,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,40,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.4,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,41,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,-0.9237298206774504,-0.9237298206774504,,0.4199999999999999,0.4,0.6206425583805804,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,42,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,-0.578584689677098,-0.578584689677098,,0.4399999999999999,0.4,0.6288663931809306,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,43,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,-0.2359709762038799,-0.2359709762038799,,0.4599999999999999,0.4,0.6348904272151629,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,44,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,0.1050382029422494,0.1050382029422494,,0.48,0.4,0.6387298525977788,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,45,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,0.4452900619106461,0.4452900619106461,,0.5,0.4,0.6403099042731472,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,46,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,0.7856538922638379,0.7856538922638379,,0.52,0.4,0.6396847728426419,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,47,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.5399999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,48,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.5599999999999999,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,49,,1.0,,0.3,64,0.1,1764110114.0,True,sawtooth,,,,0.58,0.4,,,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,30,,1.0,,0.4,64,0.1,1764110114.0,True,sawtooth,,,-0.9544645293968094,0.1999999999999999,0.4,,0.5757019216484082,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,31,,1.0,,0.4,64,0.1,1764110114.0,True,sawtooth,,,-0.9544645293968094,0.2199999999999999,0.4,,0.5757019216484082,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,32,,1.0,,0.4,64,0.1,1764110114.0,True,sawtooth,,,-0.9544645293968094,0.24,0.4,,0.5757019216484082,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,33,,1.0,,0.4,64,0.1,1764110114.0,True,sawtooth,,,-0.9544645293968094,0.26,0.4,,0.5757019216484082,-2.0,False,1e-08,1.0,1.41421356237,,0
25,200,34,,1.0,,0.4,64,0.1,1764110114.0,True,sawtooth,,,-0.9544645293968094,0.28,0.4,,0.5757019216484082,-2.0,False,1e-08,1.0,1.41421356237,,0
